filename,document_id,classification,category,word_count,page_count,dates,project_names,persons,organizations,locations
CIA-RDP96-00787R000100140001-7.txt,CIA-RDP96-00787R000100140001-7,,experiment_results,2011,4,00/08/10|14 February 1973,,"Ingo|Swann|Uri Geller|Geller|Loy|| a. given|Russell Targ|Harold Puthof|Lawrence Pinneo|ER Hef

Russell",CIA|ISU|the American Society for Psychical Research|Swann|Stanford University|Stanford|Bell|RA|Anvestigators|Electron,Washington|Arlington|Virginia|Hz
CIA-RDP96-00787R000100150001-6.txt,CIA-RDP96-00787R000100150001-6,,experiment_results,14663,29,00/08/10|00/08/40,"Parapsychological and Paraphysical Phenomena Responsible Investigator

RESEARCH SUPPORT |PERIOD ","Ravenswood Ave|CA|A.CINO|Wha DSP Taaliah|WR|Bete|Contract Admin|acd BpfOVER Fo
PHS-398
Fev|Lo ApprovedFranieiggs|Harold E. Puthott","Form Approved
SECTION|Budget Bureau|ge|TYPE|REVIEW GROUP

COUNCIL|Techniques To Enhance Extraordinary Human Perception|PRINCIPAL|INVESTIGATOR|Targ, Russell|State",Menlo Park|California|U.S.|Chicago|Illinois U.S.A.|Brooklyn|New York|N.Y.|Sylvania|Vol
CIA-RDP96-00787R000100180001-3.txt,CIA-RDP96-00787R000100180001-3,,experiment_results,4180,8,00/08/10|15 January 1973|22 February 1973|28 August 1972|1 December 1972,,H.E. Puthoff|Russell Targ|Ingo Swann|Uri Geller|Swann|Geller|sianiord Xes,STANFORD RESEARCH INS|CALIFORNIA|CIA|Proposal for Research SRI|Biofield Measurements Program|A. Probability 1/3|Swann|Release 2900/08/10|linear|Student,MENLO PARK|Boulder|Colorado
CIA-RDP96-00787R000100190001-2.txt,CIA-RDP96-00787R000100190001-2,,research_report,23785,47,03/09/10,,Edgar D. Mitchell|Girect|Wainwright House|Uri Geller|Sawin|Caotain Edgar D. Mitchell's|Mitchell|Geller|Researcen Plan|Appr,"CIA|RESES|XIsge|USN|Henry (Andriva) Puharich, M M.D.|MOF

Sp Ba|SGI1I

Appioved|Exploxing the Inergy Pields of Mon|the Twentieth Armual International Conference|St. Paul Ge Vence",Rye|New York|A.M. France|New Yor|Poharich|M.D.|Giscover|USSR|USA|Wolboerg
CIA-RDP96-00787R000100200002-9.txt,CIA-RDP96-00787R000100200002-9,,psychokinesis,4346,8,00/08/10,,"William A. Tiller

Approved|Adamenko|Kirlian|mm Hg|Sergeyev|ge mera Fee

|AP Sen|Elarfae|Glass|Dy Beet","CIA|the General Technical Report|Technical Data

l. Kirlian Photosraphy

|Fig|sec|A.C|electron|The H.F.
Signal|AgBr|Approved For Release 2000/08/10",Russia|Tobiscope|A.C.|D.C.|England|Kirlian|Coe Upenze|Scilersie|NaS
CIA-RDP96-00787R000100210002-8.txt,CIA-RDP96-00787R000100210002-8,,correspondence,149,1,03/09/10,,Ridin,"NE|OEE|APRS|OTS|ORE|RESEARCH
~~ CS7SK|OBJECTS|CIA",
CIA-RDP96-00787R000100220001-8.txt,CIA-RDP96-00787R000100220001-8,,experiment_results,5167,10,01/03/07,,"Harold E. Puthoff|Russell Targ

|Uri Geller|Pat Price|Geller|Grass|H. H.|Siegel|Judith Skutch|Edgar D. Mitchell",STANFORD RESEARCH INSTITUTE|Stanford Research Institute|NATURE Magazine|CIA|EEG|Geller|ref|SRI|Fig|Numbers 5-7,Menlo Park|California|Faraday|H.H.|New York City|Rhine|New York|London|Hampshire|England
CIA-RDP96-00787R000100220002-7.txt,CIA-RDP96-00787R000100220002-7,,research_report,350,1,01/03/07,,Ronald|Elizabeth deAtley|Stan DeVaughn,"STANFORD RESEARCH INSTITUTE

Vil TZ|Deutsch, Ext.|3754
Home|Ext|SRI|the U. S.

government|Institute|CIA|Stanford University",the United States|Menlo Park|California|Calif.|San Francisco
CIA-RDP96-00787R000100220003-6.txt,CIA-RDP96-00787R000100220003-6,,experiment_results,1699,3,01/03/07,,Ronald|Harold Puthoff|Russell Targ|--Uri Geller|Geller|Puthoff|Targ,"Dae STANFORD RESEARCH INST|Renner EE NEWS|Deutsch, Ext.|3754
Home|Ud 1's|Ext|Stanford Research Institute|CIA|NATURE|research--","Menlo Park|Calif.|California|Shielded|Geller|San Francisco|Menlo
Park|Opaque|New York City|Palo
Alto"
CIA-RDP96-00787R000100220004-5.txt,CIA-RDP96-00787R000100220004-5,,experiment_results,864,1,01/03/07|01/03/04,,Ronald|Elizabeth deAtley|Stan DeVaughn|Harold Puthoff|Russell Targ|Geller|Price,"STANFORD RESEARCH INSTITUTE|Deutsch, Ext.|3754
Home|Ext|NATURE ARTICLE

QUESTIONS|SRI|the U. S.|Price|Release 2001/03/04|CIA",England
CIA-RDP96-00787R000100220005-4.txt,CIA-RDP96-00787R000100220005-4,,research_report,201,1,01/03/07,,"Puthoff|M.S. E.,","STANFORD RESEARCH INSTITUTE|SN|quantum physics|Electrical
Engineering and Applied Physics|Stanford University|SRI|the Department of Electrical
Engineering|Stanford|Raman|the University of Florida",Menlo Park|California|Chicago
CIA-RDP96-00787R000100220006-3.txt,CIA-RDP96-00787R000100220006-3,,research_report,214,1,01/03/07,,Russell Targ|Targ,"STANFORD RESEARCH INSTITUTE

|SRI|the Institute of Electrical and Electronics
Engineers|the American Physical Society|CO|Parapsychology Research Group Inc.|Queens College|Columbia University|CIA",Menlo Park|California|Palo Alto-|New York|B.S.|Chicago
CIA-RDP96-00787R000100250001-5.txt,CIA-RDP96-00787R000100250001-5,,research_report,328,1,15 June 1977|00/08/10|1 July 1978,,D. G. 20505|Harry L. Snyder|Oia s,"CIA|Systemetrics, Inc.|Attachment 3|Ph.D.
Corporate Scientist|ForiRelease|Gle-BOR6,007858000100250001",Washington
CIA-RDP96-00787R000100250002-4.txt,CIA-RDP96-00787R000100250002-4,,experiment_results,683,1,00/08/10|1 July 1978|1 March 1978|1 January 1979|15 June 1977,,Release GUNS]|necessar,"ApprovedtFar|Systemetrics, Inc.|the Central Intelligence Agency|the Committee for the Investigation of the Paranormal|CIA|Milestones

Contract Go-Ahead|Submit Report|SGFOIA2
Approved For",U.S.
CIA-RDP96-00787R000100250004-2.txt,CIA-RDP96-00787R000100250004-2,,correspondence,88,1,00/08/10,,"Harry L. Snyder|Drs|Walter
W. Wierwille|Robert C. Williges","Corporate Scientist of Systemetrics, Inc.|Principal Investigator|Williges",Wierwille
CIA-RDP96-00787R000100250006-0.txt,CIA-RDP96-00787R000100250006-0,,correspondence,242,1,03/04/18|03/44/18,,FpP Release|Joe|Harry L. “Snyder|eckop urg|SG1B Approved,"CIA|SGi1I|University|Ph.D.
Corporate Scientist|Appreved For Re|Drawer S",D.C.
